gvkey,conm,fyear,xrd,ni,at,sale,siccd,dlc,dltt
001004,AAR CORP,2018,,7.5,1517.2,2051.8,5080,0.0,141.7
001019,AFA PROTECTIVE SYSTEMS INC,2018,,1.101,34.031,77.742,7380,3.005,0.833
001045,AMERICAN AIRLINES GROUP INC,2018,,1412.0,60580.0,44541.0,4512,4948.0,29081.0
001050,CECO ENVIRONMENTAL CORP,2018,,-7.121,392.582,337.339,3564,2.178,82.313
001072,AVX CORP,2018,30.599,271.813,2813.278,1791.79,3670,0.0,0.0
001075,PINNACLE WEST CAPITAL CORP,2018,,511.047,17664.202,3691.247,4911,576.4,4638.232
001076,PROG HOLDINGS INC,2018,,196.21,2826.692,3828.923,7359,83.778,340.974
001078,ABBOTT LABORATORIES,2018,2300.0,2368.0,67173.0,30578.0,2834,207.0,19359.0
001084,WORLDS INC,2018,,1.754,3.846,0.0,7370,1.523,0.0
001094,ACETO CORP,2018,7.933,-316.121,767.024,711.359,5160,14.482,302.916
001097,ACMAT CORP  -CL A,2018,,0.744,60.875,2.751,6351,0.0,4.268
001104,ACME UNITED CORP,2018,0.734,4.598,109.477,137.321,3420,0.267,43.727
001117,BK TECHNOLOGIES CORP,2018,7.768,-0.195,39.191,49.38,3663,0.0,0.0
001121,ADAMS RESOURCES & ENERGY INC,2018,,2.945,278.87,1750.213,5172,0.883,3.209
001161,ADVANCED MICRO DEVICES,2018,1434.0,337.0,4556.0,6475.0,3674,136.0,1114.0
001209,AIR PRODUCTS & CHEMICALS INC,2018,64.5,1497.8,19178.3,8930.2,2810,460.9,3351.7
001210,AIR T INC,2018,0.0,1.34,115.142,249.834,4513,24.735,32.918
001224,SPIRE ALABAMA INC,2018,,1.3,1616.2,500.7,4924,142.5,322.6
001225,ALABAMA POWER CO,2018,,945.0,26730.0,6032.0,4911,201.0,7923.0
001230,ALASKA AIR GROUP INC,2018,,437.0,10912.0,8264.0,4512,486.0,1617.0
001234,ATRION CORP,2018,5.513,34.255,231.216,152.448,3841,0.0,0.0
001254,MATSON INC,2018,,109.0,2430.4,2222.8,4400,42.1,814.3
001257,ALEXANDER'S INC,2018,0.0,32.844,1481.257,232.825,6798,0.0,1161.534
001266,ALICO INC,2018,,13.05,423.422,81.281,100,5.275,170.196
001274,ALLEGHANY CORP,2018,,39.539,25344.896,6873.46,6331,0.0,1669.039
001300,HONEYWELL INTERNATIONAL INC,2018,1809.0,6765.0,57773.0,41802.0,9997,6458.0,9756.0
001327,SKYWORKS SOLUTIONS INC,2018,404.5,918.4,4828.9,3868.0,3674,0.0,0.0
001380,HESS CORP,2018,,-282.0,21433.0,6323.0,1311,67.0,6605.0
001388,AMERICAN AIRLINES INC,2018,,1658.0,70878.0,44530.0,4512,4186.0,28507.0
001393,U-HAUL HOLDING CO,2018,,370.857,11891.713,3768.707,7510,475.898,3687.425
